cod_uf,uf,uf_nome,regiao,cluster,segmento,aptidao_solar,cop_medio_anual,oportunidade_conversao,rendimento_medio_pc,trend_aquecedor_solar,trend_bomba_de_calor,temp_media_anual,radiacao_media,amplitude_media,temp_minima_inverno,temp_minima_absoluta,cop_inverno,populacao,media_moradores,pct_casa,pct_apartamento,pct_rede_geral,trend_aquecimento_de_piscina,trend_aquecimento_solar,trend_chuveiro_eletrico,ano,mes,temp_media_mensal,temp_minima_mensal,radiacao_kwh_m2_dia,amplitude_termica_diaria,n_dias,regiao_br,cop_ashp_agua,energia_solar_util_kwh_m2_dia,consumo_comercial_mwh,consumo_industrial_mwh,consumo_residencial_mwh,n_domicilios,consumo_resid_por_domicilio
11,RO,Rondônia,Norte,0,Fronteira morna,2.265996610169492,3.584079661016949,45.9,1750,18.0,4.0,26.117909886676216,4.531985325423729,9.613307544067796,20.0121652,7.4,3.5698933333333334,1572676.0,2.83,0.9057429395477204,0.0688525830527527,0.4615194767059569,3.0,12.0,63.0,2021,12,24.02284954440209,21.554838,3.929292,6.7709675,31,Norte,3.4675,1.9646,58104.775,41013.926,126716.857,555099.0,0.2282779414122526
11,RO,Rondônia,Norte,0,Fronteira morna,2.265996610169492,3.584079661016949,45.9,1750,18.0,4.0,26.117909886676216,4.531985325423729,9.613307544067796,20.0121652,7.4,3.5698933333333334,1572676.0,2.83,0.9057429395477204,0.0688525830527527,0.4615194767059569,3.0,12.0,63.0,2022,1,25.09183326978001,22.183872,4.946947,7.6919355,31,Norte,3.5262,2.4735,55437.985,37382.344,125078.423,555099.0,0.2253263345817592
11,RO,Rondônia,Norte,0,Fronteira morna,2.265996610169492,3.584079661016949,45.9,1750,18.0,4.0,26.117909886676216,4.531985325423729,9.613307544067796,20.0121652,7.4,3.5698933333333334,1572676.0,2.83,0.9057429395477204,0.0688525830527527,0.4615194767059569,3.0,12.0,63.0,2022,2,24.72795684490638,22.064285,4.7508025,7.3624997,28,Norte,3.5061,2.3754,51350.576,37143.968,111978.393,555099.0,0.2017268865553712
11,RO,Rondônia,Norte,0,Fronteira morna,2.265996610169492,3.584079661016949,45.9,1750,18.0,4.0,26.117909886676216,4.531985325423729,9.613307544067796,20.0121652,7.4,3.5698933333333334,1572676.0,2.83,0.9057429395477204,0.0688525830527527,0.4615194767059569,3.0,12.0,63.0,2022,3,24.755852551703253,22.08387,4.2029214,7.314516,31,Norte,3.5077,2.1015,57026.948,40408.832,126180.706,555099.0,0.227312075863945
11,RO,Rondônia,Norte,0,Fronteira morna,2.265996610169492,3.584079661016949,45.9,1750,18.0,4.0,26.117909886676216,4.531985325423729,9.613307544067796,20.0121652,7.4,3.5698933333333334,1572676.0,2.83,0.9057429395477204,0.0688525830527527,0.4615194767059569,3.0,12.0,63.0,2022,4,25.64562502966987,21.973333,5.0104203,8.625,30,Norte,3.557,2.5052,56925.434,38032.899,120202.263,555099.0,0.2165420276383131
11,RO,Rondônia,Norte,0,Fronteira morna,2.265996610169492,3.584079661016949,45.9,1750,18.0,4.0,26.117909886676216,4.531985325423729,9.613307544067796,20.0121652,7.4,3.5698933333333334,1572676.0,2.83,0.9057429395477204,0.0688525830527527,0.4615194767059569,3.0,12.0,63.0,2022,5,24.69643820485761,20.150002,4.7938685,10.237097,31,Norte,3.5044,2.3969,60023.184,38551.373,134796.355,555099.0,0.2428329991587086
11,RO,Rondônia,Norte,0,Fronteira morna,2.265996610169492,3.584079661016949,45.9,1750,18.0,4.0,26.117909886676216,4.531985325423729,9.613307544067796,20.0121652,7.4,3.5698933333333334,1572676.0,2.83,0.9057429395477204,0.0688525830527527,0.4615194767059569,3.0,12.0,63.0,2022,6,23.593714258103144,19.168571,4.4516973,9.668571,30,Norte,3.4443,2.2258,55906.158,39836.802,122478.345,555099.0,0.2206423448790216
11,RO,Rondônia,Norte,0,Fronteira morna,2.265996610169492,3.584079661016949,45.9,1750,18.0,4.0,26.117909886676216,4.531985325423729,9.613307544067796,20.0121652,7.4,3.5698933333333334,1572676.0,2.83,0.9057429395477204,0.0688525830527527,0.4615194767059569,3.0,12.0,63.0,2022,7,26.22420594495783,19.925,5.1983237,12.782693,31,Norte,3.5894,2.5992,58845.461,41826.258,129446.684,555099.0,0.2331956714027587
11,RO,Rondônia,Norte,0,Fronteira morna,2.265996610169492,3.584079661016949,45.9,1750,18.0,4.0,26.117909886676216,4.531985325423729,9.613307544067796,20.0121652,7.4,3.5698933333333334,1572676.0,2.83,0.9057429395477204,0.0688525830527527,0.4615194767059569,3.0,12.0,63.0,2022,8,26.357462735911508,20.539394,4.781678,11.996969,31,Norte,3.5969,2.3908,62511.472,43962.042,134127.284,555099.0,0.2416276808281045
11,RO,Rondônia,Norte,0,Fronteira morna,2.265996610169492,3.584079661016949,45.9,1750,18.0,4.0,26.117909886676216,4.531985325423729,9.613307544067796,20.0121652,7.4,3.5698933333333334,1572676.0,2.83,0.9057429395477204,0.0688525830527527,0.4615194767059569,3.0,12.0,63.0,2022,9,28.99923668746479,24.228333,4.6955533,9.466666,30,Norte,3.7489,2.3478,63312.709,42398.235,138706.938,555099.0,0.2498778380072743
