NC,NN,MC,MN,valor,cod_uf,uf,D2C,ano,D3C,variavel
3,Unidade da Federação,1708,Domicílios,5088635.0,29,Bahia,2022,2022,381,Domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,14103181.0,29,Bahia,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,2.77,29,Bahia,2022,2022,5930,Média de moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,1708,Domicílios,7533434.0,31,Minas Gerais,2022,2022,381,Domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,20436535.0,31,Minas Gerais,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,2.71,31,Minas Gerais,2022,2022,5930,Média de moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,1708,Domicílios,1428739.0,32,Espírito Santo,2022,2022,381,Domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,3808060.0,32,Espírito Santo,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,2.67,32,Espírito Santo,2022,2022,5930,Média de moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,1708,Domicílios,6152051.0,33,Rio de Janeiro,2022,2022,381,Domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,15991284.0,33,Rio de Janeiro,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,2.6,33,Rio de Janeiro,2022,2022,5930,Média de moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,1708,Domicílios,16224248.0,35,São Paulo,2022,2022,381,Domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,44117616.0,35,São Paulo,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,2.72,35,São Paulo,2022,2022,5930,Média de moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,1708,Domicílios,4209432.0,41,Paraná,2022,2022,381,Domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,11390719.0,41,Paraná,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,2.71,41,Paraná,2022,2022,5930,Média de moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,1708,Domicílios,2806100.0,42,Santa Catarina,2022,2022,381,Domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,7573632.0,42,Santa Catarina,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,2.7,42,Santa Catarina,2022,2022,5930,Média de moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,1708,Domicílios,4256082.0,43,Rio Grande do Sul,2022,2022,381,Domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,10816723.0,43,Rio Grande do Sul,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,2.54,43,Rio Grande do Sul,2022,2022,5930,Média de moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,1708,Domicílios,979669.0,50,Mato Grosso do Sul,2022,2022,381,Domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,2737054.0,50,Mato Grosso do Sul,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,2.79,50,Mato Grosso do Sul,2022,2022,5930,Média de moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,1708,Domicílios,1278142.0,51,Mato Grosso,2022,2022,381,Domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,3635989.0,51,Mato Grosso,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,2.84,51,Mato Grosso,2022,2022,5930,Média de moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,1708,Domicílios,2572930.0,52,Goiás,2022,2022,381,Domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,7022513.0,52,Goiás,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,2.73,52,Goiás,2022,2022,5930,Média de moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,1708,Domicílios,988191.0,53,Distrito Federal,2022,2022,381,Domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,2792811.0,53,Distrito Federal,2022,2022,382,Moradores em domicílios particulares permanentes ocupados
3,Unidade da Federação,45,Pessoas,2.83,53,Distrito Federal,2022,2022,5930,Média de moradores em domicílios particulares permanentes ocupados
