NC,NN,MC,MN,qtd_domicilios,cod_uf,uf,D2C,ano,D3C,variavel,cod_categoria,categoria
3,Unidade da Federação,1020,Unidades,18160.0,16,Amapá,2022,2022,381,Domicílios particulares permanentes ocupados,3247,Apartamento
3,Unidade da Federação,1020,Unidades,1096.0,16,Amapá,2022,2022,381,Domicílios particulares permanentes ocupados,71975,Habitação em casa de cômodos ou cortiço
3,Unidade da Federação,1020,Unidades,264.0,16,Amapá,2022,2022,381,Domicílios particulares permanentes ocupados,71976,Habitação indígena sem paredes ou maloca
3,Unidade da Federação,1020,Unidades,117.0,16,Amapá,2022,2022,381,Domicílios particulares permanentes ocupados,71977,Estrutura residencial permanente degradada ou inacabada
3,Unidade da Federação,1020,Unidades,513796.0,17,Tocantins,2022,2022,381,Domicílios particulares permanentes ocupados,2932,Total
3,Unidade da Federação,1020,Unidades,483090.0,17,Tocantins,2022,2022,381,Domicílios particulares permanentes ocupados,6815,Casa
3,Unidade da Federação,1020,Unidades,11426.0,17,Tocantins,2022,2022,381,Domicílios particulares permanentes ocupados,121264,Casa de vila ou em condomínio
3,Unidade da Federação,1020,Unidades,16610.0,17,Tocantins,2022,2022,381,Domicílios particulares permanentes ocupados,3247,Apartamento
3,Unidade da Federação,1020,Unidades,2574.0,17,Tocantins,2022,2022,381,Domicílios particulares permanentes ocupados,71975,Habitação em casa de cômodos ou cortiço
3,Unidade da Federação,1020,Unidades,96.0,17,Tocantins,2022,2022,381,Domicílios particulares permanentes ocupados,71977,Estrutura residencial permanente degradada ou inacabada
3,Unidade da Federação,1020,Unidades,2091583.0,21,Maranhão,2022,2022,381,Domicílios particulares permanentes ocupados,2932,Total
3,Unidade da Federação,1020,Unidades,1956961.0,21,Maranhão,2022,2022,381,Domicílios particulares permanentes ocupados,6815,Casa
3,Unidade da Federação,1020,Unidades,38765.0,21,Maranhão,2022,2022,381,Domicílios particulares permanentes ocupados,121264,Casa de vila ou em condomínio
3,Unidade da Federação,1020,Unidades,86166.0,21,Maranhão,2022,2022,381,Domicílios particulares permanentes ocupados,3247,Apartamento
3,Unidade da Federação,1020,Unidades,8698.0,21,Maranhão,2022,2022,381,Domicílios particulares permanentes ocupados,71975,Habitação em casa de cômodos ou cortiço
3,Unidade da Federação,1020,Unidades,358.0,21,Maranhão,2022,2022,381,Domicílios particulares permanentes ocupados,71976,Habitação indígena sem paredes ou maloca
3,Unidade da Federação,1020,Unidades,635.0,21,Maranhão,2022,2022,381,Domicílios particulares permanentes ocupados,71977,Estrutura residencial permanente degradada ou inacabada
3,Unidade da Federação,1020,Unidades,1071549.0,22,Piauí,2022,2022,381,Domicílios particulares permanentes ocupados,2932,Total
3,Unidade da Federação,1020,Unidades,1014050.0,22,Piauí,2022,2022,381,Domicílios particulares permanentes ocupados,6815,Casa
3,Unidade da Federação,1020,Unidades,7271.0,22,Piauí,2022,2022,381,Domicílios particulares permanentes ocupados,121264,Casa de vila ou em condomínio
3,Unidade da Federação,1020,Unidades,49174.0,22,Piauí,2022,2022,381,Domicílios particulares permanentes ocupados,3247,Apartamento
3,Unidade da Federação,1020,Unidades,878.0,22,Piauí,2022,2022,381,Domicílios particulares permanentes ocupados,71975,Habitação em casa de cômodos ou cortiço
3,Unidade da Federação,1020,Unidades,176.0,22,Piauí,2022,2022,381,Domicílios particulares permanentes ocupados,71977,Estrutura residencial permanente degradada ou inacabada
3,Unidade da Federação,1020,Unidades,3020374.0,23,Ceará,2022,2022,381,Domicílios particulares permanentes ocupados,2932,Total
3,Unidade da Federação,1020,Unidades,2618407.0,23,Ceará,2022,2022,381,Domicílios particulares permanentes ocupados,6815,Casa
3,Unidade da Federação,1020,Unidades,88108.0,23,Ceará,2022,2022,381,Domicílios particulares permanentes ocupados,121264,Casa de vila ou em condomínio
3,Unidade da Federação,1020,Unidades,310575.0,23,Ceará,2022,2022,381,Domicílios particulares permanentes ocupados,3247,Apartamento
3,Unidade da Federação,1020,Unidades,2394.0,23,Ceará,2022,2022,381,Domicílios particulares permanentes ocupados,71975,Habitação em casa de cômodos ou cortiço
3,Unidade da Federação,1020,Unidades,890.0,23,Ceará,2022,2022,381,Domicílios particulares permanentes ocupados,71977,Estrutura residencial permanente degradada ou inacabada
3,Unidade da Federação,1020,Unidades,1141873.0,24,Rio Grande do Norte,2022,2022,381,Domicílios particulares permanentes ocupados,2932,Total
3,Unidade da Federação,1020,Unidades,992717.0,24,Rio Grande do Norte,2022,2022,381,Domicílios particulares permanentes ocupados,6815,Casa
3,Unidade da Federação,1020,Unidades,42230.0,24,Rio Grande do Norte,2022,2022,381,Domicílios particulares permanentes ocupados,121264,Casa de vila ou em condomínio
3,Unidade da Federação,1020,Unidades,105892.0,24,Rio Grande do Norte,2022,2022,381,Domicílios particulares permanentes ocupados,3247,Apartamento
3,Unidade da Federação,1020,Unidades,816.0,24,Rio Grande do Norte,2022,2022,381,Domicílios particulares permanentes ocupados,71975,Habitação em casa de cômodos ou cortiço
