uf,ano,mes,temp_media_mensal,temp_minima_mensal,temp_minima_absoluta,radiacao_kwh_m2_dia,amplitude_termica_diaria,n_dias,regiao_br,cop_ashp_agua,energia_solar_util_kwh_m2_dia
AC,2025,5,25.294825318039106,22.12258,14.9,4.057628,8.247581,31,Norte,3.5375,2.0288
AC,2025,6,24.135972118377687,20.465832,14.5,3.3728359,9.003333,30,Norte,3.4737,1.6864
AC,2025,7,23.541435744172784,17.829033,10.9,4.211389,12.944355,31,Norte,3.4414,2.1057
AC,2025,8,25.310853650493005,19.784678,13.0,4.5445056,12.717742,31,Norte,3.5383,2.2723
AC,2025,9,25.95121540493436,21.734167,17.8,4.666342,10.734166,30,Norte,3.5741,2.3332
AC,2025,10,25.762512836826996,22.105646,17.1,4.8699026,9.441936,31,Norte,3.5635,2.435
AC,2025,11,25.80276219632868,22.7225,19.3,4.530968,8.130834,30,Norte,3.5658,2.2655
AC,2025,12,25.327735227285704,22.434408,19.1,4.155336,7.8075266,31,Norte,3.5393,2.0777
AL,2021,1,27.39175390669816,22.911764,20.5,4.646868,8.575164,31,Nordeste,3.6557,2.3234
AL,2021,2,28.59248403694884,23.176428,20.7,5.595427,9.963572,28,Nordeste,3.7251,2.7977
AL,2021,3,27.729090643749743,22.87871,20.4,5.256416,9.229677,31,Nordeste,3.6751,2.6282
AL,2021,4,26.913166187568148,22.838667,17.8,4.3900666,7.9893336,30,Nordeste,3.6284,2.195
AL,2021,5,25.02402275437465,21.92258,18.9,4.033895,6.5919356,31,Nordeste,3.5225,2.0169
AL,2021,6,24.241676271582477,21.199999,17.9,3.516511,6.3413796,30,Nordeste,3.4795,1.7583
AL,2021,7,23.98749574896133,20.785246,17.3,4.011567,6.7057376,31,Nordeste,3.4656,2.0058
AL,2021,8,23.80785600393151,20.613821,16.3,4.1511784,6.7162604,31,Nordeste,3.4559,2.0756
AL,2021,9,25.43169583648536,21.410257,18.0,5.122745,8.158119,30,Nordeste,3.5451,2.5614
AL,2021,10,26.955495984770938,22.641592,19.5,5.890739,9.143362,31,Nordeste,3.6308,2.9454
AL,2021,11,28.02176882664636,23.843138,20.3,5.925007,9.524509,30,Nordeste,3.692,2.9625
AL,2021,12,27.198029433870463,23.27527,20.1,5.7711134,9.205377,31,Nordeste,3.6446,2.8856
AL,2022,1,27.09330546914753,22.88842,20.6,6.0292463,9.437895,31,Nordeste,3.6386,3.0146
AL,2022,2,28.0571958655841,23.135294,21.1,6.589723,11.027059,28,Nordeste,3.694,3.2949
AL,2022,3,26.685375320940626,23.038712,20.8,5.530915,8.889248,31,Nordeste,3.6154,2.7655
AL,2022,4,26.566164305652027,22.74111,20.2,5.3654065,8.914444,30,Nordeste,3.6087,2.6827
AL,2022,5,24.995521534362734,22.238708,19.7,3.7339742,6.806452,31,Nordeste,3.5209,1.867
AL,2022,6,23.587076448636555,21.391851,17.7,3.0444272,5.3118515,30,Nordeste,3.4439,1.5222
AL,2022,7,23.185454868972805,20.530718,16.8,3.6902976,6.1555552,31,Nordeste,3.4223,1.8451
AL,2022,8,23.206533720059618,20.283443,17.4,3.6658525,6.40438,31,Nordeste,3.4234,1.8329
AL,2022,9,23.889316058498306,20.07483,17.2,5.5698423,8.504762,30,Nordeste,3.4603,2.7849
AL,2022,10,25.535659077126454,21.407097,18.0,5.8836794,9.150968,31,Nordeste,3.5508,2.9418
AL,2022,11,26.251689759001437,22.429333,20.6,5.4881153,8.665334,30,Nordeste,3.5909,2.7441
AL,2022,12,26.836932156144528,22.91104,19.7,5.9860497,8.589611,31,Nordeste,3.624,2.993
AL,2023,1,27.249357500688248,22.72473,20.0,6.0583863,9.822043,31,Nordeste,3.6476,3.0292
AL,2023,2,27.23184891711164,22.924404,18.8,5.71254,9.625,28,Nordeste,3.6466,2.8563
AL,2023,3,27.203727446857787,23.061829,20.2,5.4440885,9.286021,31,Nordeste,3.6449,2.722
AL,2023,4,26.936857359436136,23.106112,19.4,5.0446563,8.888889,30,Nordeste,3.6297,2.5223
AL,2023,5,26.08875852835661,22.825142,20.8,4.0507636,7.3805714,31,Nordeste,3.5818,2.0254
AL,2023,6,24.821910752838622,22.308475,19.1,3.4234726,5.4689264,30,Nordeste,3.5113,1.7117
AL,2023,7,24.208122096760103,21.002516,17.9,3.959935,6.6603775,31,Nordeste,3.4776,1.98
AL,2023,8,24.67281397739408,21.39394,17.5,4.4334335,7.230909,31,Nordeste,3.5031,2.2167
AL,2023,9,24.59373961719772,20.988571,17.1,5.007581,8.383333,30,Nordeste,3.4987,2.5038
AL,2023,10,25.977181575493304,21.408653,17.6,6.0518904,10.383173,31,Nordeste,3.5755,3.0259
AL,2023,11,27.4894783885632,22.422222,18.7,6.355428,11.375,30,Nordeste,3.6613,3.1777
AL,2023,12,27.4635591378708,23.211706,19.3,5.6124372,9.670732,31,Nordeste,3.6598,2.8062
AL,2024,1,28.693772566974243,24.14931,20.7,6.0885954,10.357604,31,Nordeste,3.731,3.0443
AL,2024,2,27.958721454343205,24.286207,20.7,5.561842,8.629557,29,Nordeste,3.6883,2.7809
AL,2024,3,28.58657645736525,24.562674,22.0,5.741988,9.435484,31,Nordeste,3.7248,2.871
AL,2024,4,27.481201863316016,24.069525,21.5,4.9464135,8.404762,30,Nordeste,3.6608,2.4732
AL,2024,5,25.68809963067503,22.86129,19.5,4.1000056,6.7299542,31,Nordeste,3.5593,2.05
AL,2024,6,24.21150953924493,21.513332,17.6,3.7766721,6.651905,30,Nordeste,3.4778,1.8883
AL,2024,7,23.55708177351172,20.464186,16.6,3.998954,7.222326,31,Nordeste,3.4423,1.9995
AL,2024,8,23.911593258679822,19.89604,16.9,4.9759545,9.082673,31,Nordeste,3.4615,2.488
AL,2024,9,24.721935803203905,20.335394,16.6,5.344823,9.648314,30,Nordeste,3.5058,2.6724
AL,2024,10,26.813884271937454,22.106558,16.3,5.957597,10.36776,31,Nordeste,3.6227,2.9788
AL,2024,11,28.1342837509542,23.609093,19.5,5.983974,9.819886,30,Nordeste,3.6985,2.992
AL,2024,12,28.55146898161673,24.258602,20.5,6.100577,9.47043,31,Nordeste,3.7227,3.0503
AL,2025,1,28.530340227605777,24.622906,21.8,5.5252237,8.805028,31,Nordeste,3.7215,2.7626
AL,2025,2,27.660007929194013,23.72454,21.0,5.733091,8.509816,28,Nordeste,3.6711,2.8665
AL,2025,3,28.41613635765548,24.123075,20.8,5.656476,9.189011,31,Nordeste,3.7148,2.8282
AL,2025,4,28.08002370540332,23.279333,21.6,5.7596383,10.555333,30,Nordeste,3.6953,2.8798
AL,2025,5,25.654367877243686,22.574602,20.3,4.147346,7.2174606,31,Nordeste,3.5575,2.0737
AL,2025,6,24.094404335826656,21.548359,19.2,3.4851995,6.0680327,30,Nordeste,3.4714,1.7426
AL,2025,7,23.57603555708592,20.45974,17.0,3.8629546,7.0376625,31,Nordeste,3.4433,1.9315
AL,2025,8,24.05165933474349,20.54375,16.9,4.227033,7.3062496,31,Nordeste,3.4691,2.1135
AL,2025,9,24.085171347882024,20.544,17.0,4.8457017,8.202667,30,Nordeste,3.4709,2.4229
AL,2025,10,25.44807388715522,21.092258,17.3,6.028095,9.807741,31,Nordeste,3.546,3.014
AL,2025,11,27.114468686169456,21.953333,18.3,6.6801853,11.561333,30,Nordeste,3.6398,3.3401
